Genesis 1:1	In the beginning, God created heaven and earth.
Genesis 11:13	And after he conceived Shelah, Arphaxad lived for three hundred and three years, and he conceived sons and daughters.
Genesis 11:14	Likewise, Shelah lived for thirty years, and then he conceived Eber.
Genesis 11:15	And after he conceived Eber, Shelah lived for four hundred and three years, and he conceived sons and daughters.
Genesis 11:16	Then Eber lived for thirty-four years, and he conceived Peleg.
Genesis 11:17	And after he conceived Peleg, Eber lived for four hundred and thirty years, and he conceived sons and daughters.
Genesis 11:18	Likewise, Peleg lived for thirty years, and then he conceived Reu.
Genesis 11:19	And after he conceived Reu, Peleg lived for two hundred and nine years, and he conceived sons and daughters.
Genesis 11:20	Then Reu lived for thirty-two years, and then he conceived Serug.
Genesis 11:21	Likewise, after he conceived Serug, Reu lived for two hundred and seven years, and he conceived sons and daughters.
Genesis 11:22	In truth, Serug lived for thirty years, and then he conceived Nahor.
Genesis 11:23	And after he conceived Nahor, Serug lived for two hundred years, and he conceived sons and daughters.
Genesis 11:24	And so Nahor lived for twenty-nine years, and then he conceived Terah.
Genesis 11:25	And after he conceived Terah, Nahor lived for one hundred and nineteen years, and he conceived sons and daughters.
Genesis 11:26	And Terah lived for seventy years, and then he conceived Abram, and Nahor, and Haran.
Genesis 11:27	And these are the generations of Terah. Terah conceived Abram, Nahor, and Haran. Next Haran conceived Lot.
Genesis 11:28	And Haran died before his father Terah, in the land of his nativity, in Ur of the Chaldeans.
Genesis 11:29	Then Abram and Nahor took wives. The name of Abram’s wife was Sarai. And the name of Nahor’s wife was Milcah, the daughter of Haran, the father of Milcah, and the father of Iscah.
Genesis 11:30	But Sarai was barren and had no children.
Genesis 11:31	And so Terah took his son Abram, and his grandson Lot, the son of Haran, and his daughter-in-law Sarai, the wife of his son Abram, and he led them away from Ur of the Chaldeans, to go into the land of Canaan. And they approached as far as Haran, and they dwelt there.
Genesis 11:32	And the days of Terah that passed were two hundred and five years, and then he died in Haran.
Genesis 12:1	Then the Lord said to Abram: “Depart from your land, and from your kindred, and from your father’s house, and come into the land that I will show you.
Genesis 12:2	And I will make of you a great nation, and I will bless you and magnify your name, and you will be blessed.
Genesis 12:3	I will bless those who bless you, and curse those who curse you, and in you all the families of the earth will be blessed.”
Genesis 12:4	And so Abram departed just as the Lord had instructed him, and Lot went with him. Abram was seventy-five years old when he departed from Haran.
Genesis 12:5	And he took his wife Sarai, and Lot, the son of his brother, and all the substance which they had come to possess, and the lives which they had acquired in Haran, and they departed in order to go to the land of Canaan. And when they arrived in it,
Genesis 12:6	Abram passed through the land even to the place of Shechem, as far as the famous steep valley. Now at that time, the Canaanite was in the land.
Genesis 12:7	Then the Lord appeared to Abram, and he said to him, “To your offspring, I will give this land.” And there he built an altar to the Lord, who had appeared to him.
Genesis 12:8	And passing on from there to a mountain, which was opposite the east of Bethel, he pitched his tent there, having Bethel to the west, and Hai on the east. He also built an altar there to the Lord, and he called upon his name.
Genesis 12:9	And Abram traveled, going out and continuing further on, toward the south.
Genesis 12:10	But a famine occurred in the land. And Abram descended to Egypt, to sojourn there. For famine prevailed over the land.
Genesis 12:11	And when he was close to entering Egypt, he said to his wife Sarai: “I know you to be a beautiful woman.
Genesis 12:12	And when the Egyptians see you, they will say, ‘She is his wife.’ And they will put me to death, and retain you.
Genesis 12:13	Therefore, I beg you to say that you are my sister, so that it may be well with me because of you, and so that my soul may live by your favor.”
Genesis 12:14	And so, when Abram had arrived in Egypt, the Egyptians saw that the woman was exceedingly beautiful.
Genesis 12:15	And the princes reported it to Pharaoh, and they praised her to him. And the woman was inducted into the house of Pharaoh.
Genesis 12:16	In truth, they treated Abram well because of her. And he had sheep and oxen and male donkeys, and men servants, and women servants, and female donkeys, and camels.
Genesis 12:17	But the Lord scourged Pharaoh and his house with great wounds because of Sarai, the wife of Abram.
Genesis 12:18	And Pharaoh called Abram, and he said to him: “What is this that you have done to me? Why did you not tell me she was your wife?
Genesis 12:19	For what reason did you claim her to be your sister, so that I would take her to me as a wife? Now therefore, behold your mate, receive her and go.”
Genesis 12:20	And Pharaoh instructed his men about Abram. And they led him away with his wife and all that he had.
Genesis 13:1	Therefore, Abram ascended from Egypt, he and his wife, and all that he had, and Lot with him, toward the southern region.
Genesis 13:2	But he was very wealthy by the possession of gold and silver.
Genesis 13:3	And he returned by the way that he came, from the meridian into Bethel, all the way to the place where before he had pitched his tent, between Bethel and Hai.
Genesis 13:4	There, at the place of the altar he had made before, he again called upon the name of the Lord.
Genesis 13:5	But Lot also, who was with Abram, had flocks of sheep, and cattle, and tents.
Genesis 13:6	Neither was the land able to contain them, so that they might dwell together. Indeed, their substance was so great that they could not live in common.
Genesis 13:7	And then there also arose a conflict between the shepherds of Abram and of Lot. Now at that time the Canaanite and the Perizzite lived in that land.
Genesis 13:8	Therefore, Abram said to Lot: “I ask you, let there be no quarrel between me and you, and between my shepherds and your shepherds. For we are brothers.
Genesis 13:9	Behold, the entire land is before your eyes. Withdraw from me, I beg you. If you will go to the left, I will take the right. If you choose the right, I will pass to the left.”
Genesis 13:10	And so Lot, lifting up his eyes, saw all the region around the Jordan, which was thoroughly irrigated, before the Lord overthrew Sodom and Gomorrah. It was like the Paradise of the Lord, and it was like Egypt, approaching toward Zoar.
Genesis 13:11	And Lot chose for himself the region around the Jordan, and he withdrew by way of the east. And they were divided, one brother from the other.
Genesis 13:12	Abram dwelt in the land of Canaan. In truth, Lot stayed in the towns that were around the Jordan, and he lived in Sodom.
Genesis 13:13	But the men of Sodom were very wicked, and they were sinners before the Lord beyond measure.
Genesis 13:14	And the Lord said to Abram, after Lot was divided from him: “Lift up your eyes, and gaze out from the place where you are now, to the north and to the meridian, to the east and to the west.
Genesis 13:15	All the land that you see, I will give to you, and to your offspring even forever.
Genesis 13:16	And I will make your offspring like the dust of the earth. If any man is able to number the dust of the earth, he will be able to number your offspring as well.
Genesis 13:17	Arise and walk through the land in its length, and breadth. For I will give it to you.”
Genesis 13:18	Therefore, moving his tent, Abram went and dwelt by the steep valley of Mamre, which is in Hebron. And he built an altar there to the Lord.
Genesis 14:1	Now it happened in that time that Amraphel, king of Shinar, and Arioch, king of Pontus, and Chedorlaomer, king of the Elamites, and Tidal, king of the Nations,
Genesis 14:2	went to war against Bera, king of Sodom, and against Birsha, king of Gomorrah, and against Shinab, king of Admah, and against Shemeber, king of Zeboiim, and against the king of Bela, that is Zoar.
Genesis 14:3	All these came together in the wooded valley, which is now the Sea of Salt.
Genesis 14:4	For they had served Chedorlaomer for twelve years, and in the thirteenth year they withdrew from him.
Genesis 14:5	Therefore, in the fourteenth year, Chedorlaomer arrived, and the kings who were with him. And they struck the Rephaim at Ashteroth of the two horns, and the Zuzim with them, and the Emim at Shaveh-Kiriathaim.
Genesis 14:6	and the Chorreans in the mountains of Seir, even to the plains of Paran, which is in wilderness.
Genesis 14:7	And they returned and arrived at the fountain of Mishpat, which is Kadesh. And they struck the entire region of the Amalekites, and the Amorites who dwelt in Hazazontamar.
Genesis 14:8	And the king of Sodom, and the king of Gomorrah, and the king of Admah, and the king of Zeboiim, and indeed the king of Bela, which is Zoar, went forth. And they directed their point against them in the wooded valley,
Genesis 14:9	namely, against Chedorlaomer, king of the Elamites, and Tidal, king of the Nations, and Amraphel, king of Shinar, and Arioch, king of Pontus: four kings against five.
Genesis 14:10	Now the wooded valley had many pits of bitumen. And so the king of Sodom and the king of Gomorrah turned back and they fell there. And those who remained, fled to the mountain.
Genesis 14:11	Then they took all the substance of the Sodomites and the Gomorrahites, and all that pertained to food, and they went away,
Genesis 14:12	along with both Lot, the son of Abram’s brother, who lived in Sodom, and his substance.
Genesis 14:13	And behold, one who had escaped reported it to Abram the Hebrew, who lived in the steep valley of Mamre the Amorite, who was the brother of Eshcol, and the brother of Aner. For these had formed an agreement with Abram.
Genesis 14:14	When Abram had heard this, namely, that his brother Lot had been taken captive, he numbered three hundred and eighteen of his own armed men and he went in pursuit all the way to Dan.
Genesis 14:15	And dividing his company, he rushed upon them in the night. And he struck them and pursued them as far as Hobah, which is on the left hand of Damascus.
Genesis 14:16	And he brought back all the substance, and Lot his brother, with his substance, likewise the women and the people.
Genesis 14:17	Then the king of Sodom went out to meet him, after he returned from the slaughter at Chedorlaomer, and the kings who were with him at the valley of Shaveh, which is the valley of the king.
Genesis 14:18	Then in truth, Melchizedek, the king of Salem, brought forth bread and wine, for he was a priest of the Most High God;
Genesis 14:19	he blessed him, and he said: “Blessed be Abram by the Most High God, who created heaven and earth.
Genesis 14:20	And blessed be the Most High God, through whose protection the enemies are in your hands.” And he gave him tithes from everything.
Genesis 14:21	Then the king of Sodom said to Abram, “Give me these souls, and take the rest for yourself.”
Genesis 14:22	And he responded to him: “I lift up my hand to the Lord God, the Most High, the Possessor of heaven and earth,
Genesis 14:23	that from one thread within a blanket, even to a single shoelace, I will not take anything from that which is yours, lest you say, ‘I have enriched Abram,’
Genesis 14:24	except that which the young men have eaten, and the shares for the men who came with me: Aner, Eshcol, and Mamre. These will take their shares.”
Genesis 15:1	And so, these things having been transacted, the word of the Lord came to Abram by a vision, saying: “Do not be afraid, Abram, I am your protector, and your reward is exceedingly great.”
Genesis 15:2	And Abram said: “Lord God, what will you give to me? I may go without children. And the son of the steward of my house is this Eliezer of Damascus.”
Genesis 15:3	And Abram added: “Yet to me you have not given offspring. And behold, my servant born in my house will be my heir.”
Genesis 15:4	And immediately the word of the Lord came to him, saying: “This one will not be your heir. But he who will come from your loins, the same will you have for your heir.”
Genesis 15:5	And he brought him outside, and he said to him, “Take in the heavens, and number the stars, if you can.” And he said to him, “So also will your offspring be.”
Genesis 15:6	Abram believed God, and it was reputed to him unto justice.
Genesis 15:7	And he said to him, “I am the Lord who led you away from Ur of the Chaldeans, so as to give you this land, and so that you would possess it.”
Genesis 15:8	But he said, “Lord God, in what way may I be able to know that I will possess it?”
Genesis 15:9	And the Lord responded by saying: “Take for me a cow of three years, and a she-goat of three years, and a ram of three years, also a turtle-dove and a pigeon.”
Genesis 15:10	Taking all these, he divided them through the middle, and placed both parts opposite one another. But the birds he did not divide.
Genesis 15:11	And birds descended upon the carcasses, but Abram drove them away.
Genesis 15:12	And when the sun was setting, a deep sleep fell upon Abram, and a dread, great and dark, invaded him.
Genesis 15:13	And it was said to him: “Know beforehand that your future offspring will be sojourners in a land not their own, and they will subjugate them in servitude and afflict them for four hundred years.
Genesis 15:14	Yet truly, I will judge the nation that they will serve, and after this they will depart with great substance.
Genesis 15:15	But you will go to your fathers in peace and be buried at a good old age.
Genesis 15:16	But in the fourth generation, they will return here. For the iniquities of the Amorites are not yet completed, even to this present time.”
Genesis 15:17	Then, when the sun had set, there came a dark mist, and there appeared a smoking furnace and a lamp of fire passing between those divisions.
Genesis 15:18	On that day, God formed a covenant with Abram, saying: “To your offspring I will give this land, from the river of Egypt, even to the great river Euphrates:
Genesis 15:19	the land of the Kenites and the Kenizzites, the Kadmonites
Genesis 15:20	and the Hittites, and the Perizzites, likewise the Rephaim,
Genesis 15:21	and the Amorites, and the Canaanites, and the Girgashites, and the Jebusites
Genesis 16:1	Now Sarai, the wife of Abram, had not conceived children. But, having an Egyptian handmaid named Hagar,
Genesis 16:2	she said to her husband: “Behold, the Lord has closed me, lest I give birth. Enter to my handmaid, so that perhaps I may receive sons of her at least.” And when he agreed to her supplication,
Genesis 16:3	she took Hagar the Egyptian, her handmaid, ten years after they began to live in the land of Canaan, and she gave her to her husband as a wife.
Genesis 16:4	And he entered to her. But when she saw that she had conceived, she despised her mistress.
Genesis 16:5	And Sarai said to Abram: “You have acted unfairly against me. I gave my handmaid into your bosom, who, when she saw that she had conceived, held me in contempt. May the Lord judge between me and you.”
Genesis 16:6	Abram responded to her by saying, “Behold, your handmaid is in your hand to treat as it pleases you.” And so, when Sarai afflicted her, she took flight.
Genesis 16:7	And when the Angel of the Lord had found her, near the fountain of water in the wilderness, which is on the way to Shur in the desert,
Genesis 16:8	he said to her: “Hagar, handmaid of Sarai, where have you come from? And where will you go?” And she answered, “I flee from the face of Sarai, my mistress.”
Genesis 16:9	And the Angel of the Lord said to her, “Return to your mistress, and humble yourself under her hand.”
Genesis 16:10	And again he said, “I will multiply your offspring continuously, and they will not be numbered because of their multitude.”
Genesis 16:11	But thereafter he said: “Behold, you have conceived, and you will give birth to a son. And you shall call his name Ishmael, because the Lord has heard your affliction.
Genesis 16:12	He will be a wild man. His hand will be against all, and all hands will be against him. And he will pitch his tents away from the region of all his brothers.”
Genesis 16:13	Then she called upon the name of the Lord who had spoken to her: “You are the God who has seen me.” For she said, “Certainly, here I have seen the back of the one who sees me.”
Genesis 16:14	Because of this, she called that well: ‘The well of the one who lives and who sees me.’ The same is between Kadesh and Bered.
Genesis 16:15	And Hagar gave birth to a son for Abram, who called his name Ishmael.
Genesis 16:16	Abram was eighty-six years old when Hagar gave birth to Ishmael for him.
Genesis 17:1	In truth, after he began to be ninety-nine years of age, the Lord appeared to him. And he said to him: “I am the Almighty God. Walk in my sight and become complete.
Genesis 17:2	And I will set my covenant between me and you. And I will multiply you very exceedingly.”
Genesis 17:3	Abram fell prone on his face.
Genesis 17:4	And God said to him: “I AM, and my covenant is with you, and you will be the father of many nations.
Genesis 17:5	No longer will your name be called Abram. But you will be called Abraham, for I have established you as the father of many nations.
Genesis 17:6	And I will cause you to increase very greatly, and I will set you among the nations, and kings will come forth from you.
Genesis 17:7	And I will establish my covenant between me and you, and with your offspring after you in their generations, by a perpetual covenant: to be God to you and to your offspring after you.
Genesis 17:8	And I will give to you and to your offspring, the land of your sojourn, all the land of Canaan, as an eternal possession, and I will be their God.”
Genesis 17:9	Again God said to Abraham: “And you therefore shall keep my covenant, and your offspring after you in their generations.
Genesis 17:10	This is my covenant, which you shall observe, between me and you, and your offspring after you: All the males among you shall be circumcised.
Genesis 17:11	And you shall circumcise the flesh of your foreskin, so that it may be a sign of the covenant between me and you.
Genesis 17:12	An infant of eight days will be circumcised among you, every male in your generations. So also servants born to you, as well as those bought, shall be circumcised, even those who are not of your stock.
Genesis 17:13	And my covenant shall be with your flesh as an eternal covenant.
Genesis 17:14	The male, the flesh of whose foreskin will not be circumcised, that soul shall be eliminated from his people. For he has made my covenant void.”
Genesis 17:15	God said also to Abraham: “Your wife Sarai, you shall not call Sarai, but Sarah.
Genesis 17:16	And I will bless her, and from her I will give you a son, whom I will bless, and he will be among the nations, and the kings of the peoples will rise from him.”
Genesis 17:17	Abraham fell on his face, and he laughed, saying in his heart: “Do you think a son can be born to a one hundred year old man? And will Sarah give birth at the age of ninety?”
Genesis 17:18	And he said to God, “If only Ishmael would live in your sight.”
Genesis 17:19	And God said to Abraham: “Your wife Sarah shall give birth to a son, and you shall call his name Isaac, and I will establish my covenant with him as a perpetual covenant, and with his offspring after him.
Genesis 17:20	Likewise, concerning Ishmael, I have heard you. Behold, I will bless and enlarge him, and I will multiply him greatly. He will produce twelve leaders, and I will make him into a great nation.
Genesis 17:21	Yet in truth, I will establish my covenant with Isaac, to whom Sarah will give birth for you at this time next year.”
Genesis 17:22	And when he had finished speaking with him, God ascended from Abraham.
Genesis 17:23	Then Abraham took his son Ishmael, and all who were born in his house, and all whom he had bought, every male among the men of his house, and he circumcised the flesh of their foreskin promptly, the very same day, just as God had instructed him.
Genesis 17:24	Abraham was ninety-nine years old when he circumcised the flesh of his foreskin.
Genesis 17:25	And his son Ishmael had completed thirteen years at the time of his circumcision.
Genesis 17:26	On the very same day, Abraham was circumcised with his son Ishmael.
Genesis 17:27	And all the men of his house, those born in his house, as well as those who were bought, even the foreigners, were circumcised with him.
Genesis 18:1	Then the Lord appeared to him, in the steep valley of Mamre, when he was sitting at the door of his tent, in the very heat of the day.
Genesis 18:2	And when he had lifted up his eyes, there appeared to him three men, standing near him. When he had seen them, he ran to meet them from the door of his tent, and he reverenced them on the ground.
Genesis 18:3	And he said: “If I, O lord, have found grace in your eyes, do not pass by your servant.
Genesis 18:4	But I will bring a little water, and you may wash your feet and rest under the tree.
Genesis 18:5	And I will set out a meal of bread, so that you may strengthen your heart; after this you will pass on. It is for this reason that you have turned aside to your servant.” And they said, “Do as you have spoken.”
Genesis 18:6	Abraham hurried into the tent to Sarah, and he said to her, “Quickly, mix together three measures of the finest wheat flour and make loaves baked under the ashes.”
Genesis 18:7	In truth, he himself ran to the herd, and he took a calf from there, very tender and very good, and he gave it to a servant, who hurried and boiled it.
Genesis 18:8	Likewise, he took butter and milk, and the calf which he had boiled, and he placed it before them. Yet truly, he himself stood near them under the tree.
Genesis 18:9	And when they had eaten, they said to him, “Where is Sarah your wife?” He answered, “Behold, she is in the tent.”
Genesis 18:10	And he said to him, “When returning, I will come to you at this time, with life as a companion, and your wife Sarah will have a son.” Hearing this, Sarah laughed behind the door of the tent.
Genesis 18:11	Now they were both old, and in an advanced state of life, and it had ceased to be with Sarah after the manner of women.
Genesis 18:12	And she laughed secretly, saying, “After I have grown old, and my lord is elderly, shall I give myself to the work of delight?”
Genesis 18:13	Then the Lord said to Abraham: “Why did Sarah laugh, saying: ‘How can I, an old woman, actually give birth?’
Genesis 18:14	Is anything difficult for God? According to the announcement, he will return to you at this same time, with life as a companion, and Sarah will have a son.”
Genesis 18:15	Sarah denied it, saying, “I did not laugh.” For she was terribly afraid. But the Lord said, “It is not so; for you did laugh.”
Genesis 18:16	Therefore, when the men had risen up from there, they directed their eyes against Sodom. And Abraham traveled with them, leading them.
Genesis 18:17	And the Lord said: “How could I hide what I am about to do from Abraham,
Genesis 18:18	since he will become a great and very robust nation, and in him all the nations of the earth will be blessed?
Genesis 18:19	For I know that he will instruct his sons, and his household after him, to keep to the way of the Lord, and to act with judgment and justice, so that, for the sake of Abraham, the Lord may bring about all the things that he has spoken to him.”
Genesis 18:20	And so the Lord said, “The outcry from Sodom and Gomorrah has been multiplied, and their sin has become exceedingly grievous.
Genesis 18:21	I will descend and see whether they have fulfilled the work of the outcry that has reached me, or whether it is not so, in order that I may know.”
Genesis 18:22	And they turned themselves from there, and they went toward Sodom. Yet in truth, Abraham still stood in the sight of the Lord.
Genesis 18:23	And as they drew near, he said: “Will you destroy the just with the impious?
Genesis 18:24	If there were fifty of the just in the city, will they perish with the rest? And will you not spare that place for the sake of fifty of the just, if they were in it?
Genesis 18:25	Far be it from you to do this thing, and to kill the just with the impious, and for the just to be treated like the impious. No, this is not like you. You judge all the earth; you would never make such a judgment.”
Genesis 18:26	And the Lord said to him, “If I find in Sodom fifty of the just in the midst of the city, I will release the entire place because of them.”
Genesis 18:27	And Abraham responded by saying: “Since now I have begun, I will speak to my Lord, though I am dust and ashes.
Genesis 18:28	What if there were five less than fifty of the just? Would you, despite the forty-five, eliminate the entire city?” And he said, “I will not eliminate it, if I find forty-five there.”
Genesis 18:29	And again he said to him, “But if forty were found there, what would you do?” He said, “I will not strike, for the sake of the forty.”
Genesis 18:30	“I ask you,” he said, “not to be angry, Lord, if I speak. What if thirty were found there?” He responded, “I will not act, if I find thirty there.”
Genesis 18:31	“Since now I have begun,” he said, “I will speak to my Lord. What if twenty were found there?” He said, “I will not put to death, for the sake of the twenty.”
Genesis 18:32	“I beg you,” he said, “not to be angry, Lord, if I speak yet once more. What if ten were found there?” And he said, “I will not destroy it for the sake of the ten.”
Genesis 18:33	And the Lord departed, after he had ceased speaking to Abraham, who then returned to his place.
Genesis 19:1	And the two Angels arrived at Sodom in the evening, and Lot was sitting at the gate of the city. And when he had seen them, he rose up and went to meet them. And he reverenced prone on the ground.
Genesis 19:2	And he said: “I beg you, my lords, turn aside to the house of your servant, and lodge there. Wash your feet, and in the morning you will advance on your way.” And they said, “Not at all. But we will lodge in the street.”
Genesis 19:3	He pressed them very much to turn aside to him. And when they had entered his house, he made a feast for them, and he cooked unleavened bread, and they ate.
Genesis 19:4	But before they went to bed, the men of the city surrounded the house, from boys to old men, all the people together.
Genesis 19:5	And they called out to Lot, and they said to him: “Where are the men who entered to you in the night? Bring them out here, so that we may know them.”
Genesis 19:6	Lot went out to them, and blocking the door behind him, he said:
Genesis 19:7	“Do not, I ask you, my brothers, do not be willing to commit this evil.
Genesis 19:8	I have two daughters who as yet have not known man. I will bring them out to you; abuse them as it pleases you, provided that you do no evil to these men, because they have entered under the shadow of my roof.”
Genesis 19:9	But they said, “Move away from there.” And again: “You have entered,” they said, “as a stranger; should you then judge? Therefore, we will afflict you yourself more than them.” And they acted very violently against Lot. And they were now at the point of breaking open the doors.
Genesis 19:10	And behold, the men put out their hand, and they pulled Lot in to them, and they closed the door.
Genesis 19:11	And they struck those who were outside with blindness, from the least to the greatest, so that they were not able to find the door.
Genesis 19:12	Then they said to Lot: “Do you have here anyone of yours? All who are yours, sons-in-law, or sons, or daughters, bring them out of this city.
Genesis 19:13	For we will eliminate this place, because the outcry among them has increased before the Lord, who sent us to destroy them.”
Genesis 19:14	And so Lot, going out, spoke to his sons-in-law, who were going to receive his daughters, and he said: “Rise up. Depart from this place. For the Lord will destroy this city.” And it seemed to them that he was speaking playfully.
Genesis 19:15	And when it was morning, the Angels compelled him, saying, “Arise, take your wife, and the two daughters that you have, lest you also should perish amid the wickedness of the city.”
Genesis 19:16	And, since he ignored them, they took his hand, and the hand of his wife, as well as that of his two daughters, because the Lord was sparing him.
Genesis 19:17	And they brought him out, and placed him beyond the city. And there they spoke to him, saying: “Save your life. Do not look not back. Neither should you stay in the entire surrounding region. But save yourself in the mountain, lest you also should perish.”
Genesis 19:18	And Lot said to them: “I beg you, my lord,
Genesis 19:19	though your servant has found grace before you, and you have magnified your mercy, which you have shown to me in saving my life, I cannot be saved on the mountain, lest perhaps some misfortune take hold of me and I die.
Genesis 19:20	There is a certain city nearby, to which I can flee; it is a little one, and I will be saved in it. Is it not a modest one, and will not my soul live?”
Genesis 19:21	And he said to him: “Behold, even now, I have heard your petitions about this, not to overturn the city on behalf of which you have spoken.
Genesis 19:22	Hurry and be saved there. For I cannot do anything until you enter there.” For this reason, the name of that city is called Zoar.
Genesis 19:23	The sun had risen over the land, and Lot had entered into Zoar.
Genesis 19:24	Therefore, the Lord rained upon Sodom and Gomorrah sulphur and fire, from the Lord, out of heaven.
Genesis 19:25	And he overturned these cities, and all the surrounding region: all the inhabitants of the cities, and everything that springs from the land.
Genesis 19:26	And his wife, looking behind herself, was turned into a statue of salt.
Genesis 19:27	Then Abraham, rising up in the morning, in the place where he had stood before with the Lord,
Genesis 19:28	looked out toward Sodom and Gomorrah, and the entire land of that region. And he saw embers rising up from the land like smoke from a furnace.
Genesis 19:29	For when God overthrew the cities of that region, remembering Abraham, he freed Lot from the overthrow of the cities, in which he had dwelt.
Genesis 19:30	And Lot ascended from Zoar, and he stayed on the mountain, and likewise his two daughters with him, (for he was afraid to stay in Zoar) and he dwelt in a cave, he and his two daughters with him.
Genesis 19:31	And the elder said to the younger: “Our father is old, and no man remains in the land who can enter to us according to the custom of the whole world.
Genesis 19:32	Come, let us inebriate him with wine, and let us sleep with him, so that we may be able to preserve offspring from our father.”
Genesis 19:33	And so they gave their father wine to drink that night. And the elder went in, and she slept with her father. But he did not perceive it, neither when his daughter lay down, nor when she rose up.
Genesis 19:34	Likewise, the next day, the elder said to the younger: “Behold, yesterday I slept with my father, let us give him wine to drink yet again this night, and you will sleep with him, so that we may save offspring from our father.”
Genesis 19:35	And then they gave their father wine to drink that night also, and the younger daughter went in, and slept with him. And not even then did he perceive when she lay down, or when she rose up.
Genesis 19:36	Therefore, the two daughters of Lot conceived by their father.
Genesis 19:37	And the elder gave birth to a son, and she called his name Moab. He is the father of the Moabites, even to the present day.
Genesis 19:38	Likewise, the younger gave birth to a son, and she called his name Ammon, that is, ‘the son of my people.’ He is the father of the Ammonites, even today.
Genesis 20:1	Abraham advanced from there into the southern land, and he lived between Kadesh and Shur. And he sojourned in Gerar.
Genesis 20:2	And he said about his wife Sarah: “She is my sister.” Therefore, Abimelech, the king of Gerar, sent for her and took her.
Genesis 20:3	Then God came to Abimelech through a dream in the night, and he said to him: “Lo, you shall die because of the woman that you have taken. For she has a husband.”
Genesis 20:4	In truth, Abimelech had not touched her, and so he said: “Lord, would you put to death a people, ignorant and just?
Genesis 20:5	Did he not say to me, ‘She is my sister,’ and did she not say, ‘He is my brother?’ In the sincerity of my heart and the purity of my hands, I have done this.”
Genesis 20:6	And God said to him: “And I know that you have acted with a sincere heart. And therefore I kept you from sinning against me, and I did not release you to touch her.
Genesis 20:7	Now therefore, return his wife to the man, for he is a prophet. And he will pray for you, and you will live. But if you are not willing to return her, know this: you shall die a death, you and all that is yours.”
Genesis 20:8	And immediately Abimelech, rising up in the night, called all his servants. And he spoke all these words in their hearing, and all the men were very afraid.
Genesis 20:9	Then Abimelech called also for Abraham, and he said to him: “What have you done to us? How have we sinned against you, so that you would bring so great a sin upon me and upon my kingdom? You have done to us what you ought not to have done.”
Genesis 20:10	And remonstrating him again, he said, “What did you see, so that you would do this?”
Genesis 20:11	Abraham responded: “I thought to myself, saying: Perhaps there is no fear of God in this place. And they will put me to death because of my wife.
Genesis 20:12	Yet, in another way, she is also truly my sister, the daughter of my father, and not the daughter of my mother, and I took her as a wife.
Genesis 20:13	Then, after God led me out of my father’s house, I said to her: ‘You will show this mercy to me. In every place, to which we will travel, you will say that I am your brother.’ ”
Genesis 20:14	Therefore, Abimelech took sheep and oxen, and men servants and women servants, and he gave them to Abraham. And he returned his wife Sarah to him.
Genesis 20:15	And he said, “The land is in your sight. Dwell wherever it will please you.”
Genesis 20:16	Then to Sarah he said: “Behold, I have given your brother one thousand silver coins. This will be for you as a veil for your eyes, to all who are with you and wherever you will travel. And so, remember that you were taken.”
Genesis 20:17	Then when Abraham prayed, God healed Abimelech and his wife, and his handmaids, and they gave birth.
Genesis 20:18	For the Lord had closed every womb of the house of Abimelech, because of Sarah, the wife of Abraham.
Genesis 21:1	Then the Lord visited Sarah, just as he had promised; and he fulfilled what he had spoken.
Genesis 21:2	And she conceived and gave birth to a son in her old age, at the time that God had foretold to her.
Genesis 21:3	And Abraham called the name of his son, whom Sarah bore for him, Isaac.
Genesis 21:4	And he circumcised him on the eighth day, just as God had instructed him,
Genesis 21:5	when he was one hundred years old. Indeed, at this stage of his father’s life, Isaac was born.
Genesis 21:6	And Sarah said: “God has brought laughter to me. Whoever will hear of it will laugh with me.”
Genesis 21:7	And again, she said: “Hearing this, who would believe Abraham, that Sarah breast-fed a son, to whom she gave birth, despite being elderly?”
Genesis 21:8	And the boy grew and was weaned. And Abraham made a great feast on the day of his weaning.
Genesis 21:9	And when Sarah had seen the son of Hagar the Egyptian playing with her son Isaac, she said to Abraham:
Genesis 21:10	“Cast out this woman servant and her son. For the son of a woman servant will not be heir with my son Isaac.”
Genesis 21:11	Abraham took this grievously, for the sake of his son.
Genesis 21:12	And God said to him: “Let it not seem harsh to you concerning the boy and your woman servant. In all that Sarah has said to you, listen to her voice. For your offspring will be invoked in Isaac.
Genesis 21:13	Yet I will also make the son of the woman servant into a great nation, for he is your offspring.”
Genesis 21:14	And so Abraham arose in the morning, and taking bread and a skin of water, he placed it upon her shoulder, and he handed over the boy, and he released her. And when she had departed, she wandered in the wilderness of Beersheba.
Genesis 21:15	And when the water in the skin had been consumed, she set aside the boy, under one of the trees that were there.
Genesis 21:16	And she moved away and sat in a distant area, as far as a bow can reach. For she said, “I shall not see the boy die.” And so, sitting opposite her, he lifted up his voice and wept.
Genesis 21:17	But God heard the voice of the boy. And an Angel of God called to Hagar from heaven, saying: “What are you doing, Hagar? Do not be afraid. For God has heeded the voice of the boy, from the place where he is.
Genesis 21:18	Rise up. Take the boy and hold him by the hand. For I will make of him a great nation.”
Genesis 21:19	And God opened her eyes. And seeing a well of water, she went and filled the skin, and she gave the boy to drink.
Genesis 21:20	And God was with him. And he grew, and he stayed in the wilderness, and he became a young man, an archer.
Genesis 21:21	And he lived in the desert of Paran, and his mother took a wife for him from the land of Egypt.
